Model unknown

  Variables:
    shifts_facing_wall : Size=1150, Index=shifts_facing_wall_index
        Key      : Lower : Value                   : Upper : Fixed : Stale : Domain
         (4, 26) :   -50 :      1.4566887031142313 :    50 : False : False :  Reals
         (4, 27) :   -50 :      1.4575612299090273 :    50 : False : False :  Reals
         (4, 28) :   -50 :      1.4579232476793007 :    50 : False : False :  Reals
         (4, 29) :   -50 :      1.4573619539751357 :    50 : False : False :  Reals
         (4, 30) :   -50 :      1.4554436786336515 :    50 : False : False :  Reals
         (4, 31) :   -50 :      1.4517406096921706 :    50 : False : False :  Reals
         (4, 32) :   -50 :      1.4458570444022691 :    50 : False : False :  Reals
         (4, 33) :   -50 :       1.437453485104103 :    50 : False : False :  Reals
         (4, 34) :   -50 :       1.426267025468583 :    50 : False : False :  Reals
         (4, 35) :   -50 :      1.4121267055117324 :    50 : False : False :  Reals
         (4, 36) :   -50 :      1.3949628462862658 :    50 : False : False :  Reals
         (4, 37) :   -50 :      1.3748097940517068 :    50 : False : False :  Reals
         (4, 38) :   -50 :      1.3518019907768553 :    50 : False : False :  Reals
         (4, 39) :   -50 :      1.3261638208242383 :    50 : False : False :  Reals
         (4, 40) :   -50 :      1.2981942376752253 :    50 : False : False :  Reals
         (4, 41) :   -50 :      1.2682477230416518 :    50 : False : False :  Reals
         (4, 42) :   -50 :       1.236713646025365 :    50 : False : False :  Reals
         (4, 43) :   -50 :       1.203996542700459 :    50 : False : False :  Reals
         (4, 44) :   -50 :       1.170500193248468 :    50 : False : False :  Reals
         (4, 45) :   -50 :       1.136618595457122 :    50 : False : False :  Reals
          (5, 0) :   -50 :      1.3586173284168035 :    50 : False : False :  Reals
          (5, 1) :   -50 :      1.3944906929721443 :    50 : False : False :  Reals
          (5, 2) :   -50 :      1.4299857685763386 :    50 : False : False :  Reals
          (5, 3) :   -50 :      1.4647121464097315 :    50 : False : False :  Reals
          (5, 4) :   -50 :      1.4982658936039992 :    50 : False : False :  Reals
          (5, 5) :   -50 :      1.5302384230226191 :    50 : False : False :  Reals
          (5, 6) :   -50 :      1.5602324885376533 :    50 : False : False :  Reals
          (5, 7) :   -50 :       1.587882229873983 :    50 : False : False :  Reals
          (5, 8) :   -50 :      1.6128743939537762 :    50 : False : False :  Reals
          (5, 9) :   -50 :      1.6349681759851762 :    50 : False : False :  Reals
         (5, 10) :   -50 :      1.6540115380340106 :    50 : False : False :  Reals
         (5, 11) :   -50 :       1.669952354098077 :    50 : False : False :  Reals
         (5, 12) :   -50 :      1.6828432730051266 :    50 : False : False :  Reals
         (5, 13) :   -50 :      1.6928397547365577 :    50 : False : False :  Reals
         (5, 14) :   -50 :      1.7001912916387176 :    50 : False : False :  Reals
         (5, 15) :   -50 :      1.7052263437297923 :    50 : False : False :  Reals
         (5, 16) :   -50 :      1.7083319698435713 :    50 : False : False :  Reals
         (5, 17) :   -50 :      1.7099295007255384 :    50 : False : False :  Reals
         (5, 18) :   -50 :       1.710447858800763 :    50 : False : False :  Reals
         (5, 19) :   -50 :      1.7102962707144462 :    50 : False : False :  Reals
         (5, 20) :   -50 :      1.7098381705272228 :    50 : False : False :  Reals
         (5, 21) :   -50 :      1.7093679984621812 :    50 : False : False :  Reals
         (5, 22) :   -50 :      1.7090923997199143 :    50 : False : False :  Reals
         (5, 23) :   -50 :      1.7091170356549954 :    50 : False : False :  Reals
         (5, 24) :   -50 :      1.7094398541444111 :    50 : False : False :  Reals
         (5, 25) :   -50 :      1.7099512497167026 :    50 : False : False :  Reals
         (5, 26) :   -50 :       1.710441101988307 :    50 : False : False :  Reals
         (5, 27) :   -50 :       1.710612239442553 :    50 : False : False :  Reals
         (5, 28) :   -50 :      1.7100994606663729 :    50 : False : False :  Reals
         (5, 29) :   -50 :       1.708492881284319 :    50 : False : False :  Reals
         (5, 30) :   -50 :      1.7053640834555464 :    50 : False : False :  Reals
         (5, 31) :   -50 :      1.7002933431720986 :    50 : False : False :  Reals
         (5, 32) :   -50 :      1.6928961746125257 :    50 : False : False :  Reals
         (5, 33) :   -50 :      1.6828474542266167 :    50 : False : False :  Reals
         (5, 34) :   -50 :      1.6699015332106828 :    50 : False : False :  Reals
         (5, 35) :   -50 :      1.6539070098950504 :    50 : False : False :  Reals
         (5, 36) :   -50 :       1.634815201029251 :    50 : False : False :  Reals
         (5, 37) :   -50 :      1.6126818049678142 :    50 : False : False :  Reals
         (5, 38) :   -50 :      1.5876617672227467 :    50 : False : False :  Reals
         (5, 39) :   -50 :      1.5599979127084578 :    50 : False : False :  Reals
         (5, 40) :   -50 :      1.5300044698019646 :    50 : False : False :  Reals
         (5, 41) :   -50 :      1.4980471490940492 :    50 : False : False :  Reals
         (5, 42) :   -50 :      1.4645219260004827 :    50 : False : False :  Reals
         (5, 43) :   -50 :      1.4298350863410758 :    50 : False : False :  Reals
         (5, 44) :   -50 :      1.3943874073294833 :    50 : False : False :  Reals
         (5, 45) :   -50 :      1.3585655302747737 :    50 : False : False :  Reals
          (6, 0) :   -50 :      1.5601319955985562 :    50 : False : False :  Reals
          (6, 1) :   -50 :       1.596457048958538 :    50 : False : False :  Reals
          (6, 2) :   -50 :      1.6324551077781186 :    50 : False : False :  Reals
          (6, 3) :   -50 :      1.6677822312546984 :    50 : False : False :  Reals
